movie,metascore,imdb,tmeter,audience
Our Kind of Traitor,5.7,6.2,7.1,5.1
Passengers,4.1,7.0,3.1,6.4
Patriots Day,6.9,7.5,8.0,8.8
Pele: Birth of a Legened,3.9,7.3,2.2,6.9
Pete's Dragon,7.1,6.8,8.7,7.5
Precious Cargo,2.7,4.6,0.0,2.1
Pride and Prejudice and Zombies,4.5,5.8,4.3,4.5
Race,5.6,7.1,6.0,7.7
Resident Evil: The Final Chapter,4.9,5.8,3.3,5.8
Ride Along 2,3.2,5.9,1.4,4.9
Rings,2.5,4.5,0.6,2.8
Risen,5.1,6.3,5.1,7.0
Rogue One: A Star Wars Story,6.5,8.0,8.5,8.8
Sausage Party,6.6,6.3,8.3,5.2
Shut In,2.5,4.6,0.6,2.2
Sing,5.9,7.2,7.3,7.4
Sing Street,7.9,8.0,9.6,9.3
Skiptrace,5.0,5.6,3.6,2.6
Sleepless,3.3,5.5,1.8,4.9
Snowden,5.8,7.3,6.1,7.2
Split,6.2,7.5,7.6,8.1
Star Trek Beyond,6.8,7.1,8.4,8.1
Storks,5.6,6.9,6.3,6.3
Suicide Squad,4.0,6.3,2.6,6.3
Sully,7.4,7.5,8.5,8.5
Swiss Army Man,6.4,7.1,6.9,7.3
T2 Trainspotting,6.4,7.7,7.6,8.5
Table 19,3.9,5.8,1.9,5.1
Teenage Mutant Ninja Turtles: Out of the Shadows,4.0,6.0,3.8,4.8
The 5th Wave,3.3,5.2,1.6,3.8
The 9th Life of Louis Drax,4.1,6.3,4.0,3.4
The Accountant,5.1,7.4,5.1,7.8
The Angry Birds Movie,4.3,6.3,4.3,4.7
The Autopsy of Jane Doe,6.4,6.8,8.4,7.1
The BFG,6.6,6.4,7.5,5.8
The Boss,4.0,5.4,2.2,3.9
The Boy,4.2,6.0,2.7,3.9
The Brothers Grimsby,4.4,6.2,3.7,4.1
The Bye Bye Man,3.7,3.8,2.3,2.7
The Choice,2.6,6.6,1.2,6.2
The Confirmation,6.5,6.4,9.1,5.5
